number,name
Ecru,Ecru/off-white
Blanc,White
White,White
647,Beaver Gray - Medium
648,Beaver Gray - Light
666,Red - Bright
676,Old Gold - Light
677,Old Gold - Very Light
680,Old Gold - Dark
699,Green
700,Green - Bright
701,Green - Light
702,Kelly Green
703,Chartreuse
704,Chartreuse - Bright
712,Cream
718,Plum
720,Orange Spice - Dark
721,Orange Spice - Medium
722,Orange Spice - Light
724,Winnie The Pooh Gold
725,Topaz
726,Topaz - Light
727,Topaz - Very Light
728,Golden Yellow
729,Old Gold - Medium
730,Olive Green - Very Dark
731*,Olive Green - Dark
732,Olive Green
733,Olive Green - Medium
734,Olive Green - Light
738,Tan - Very Light
739,Tan - Ultra Very Light
740,Tangerine
741,Tangerine - Medium
742,Tangerine - Light
743,Yellow - Medium
744,Yellow - Pale
745,Yellow - Light Pale
746,Off White
747,Sky Blue - Very Light
754,Peach - Light
758,Terra Cotta - Very Light
760,Salmon
761,Salmon - Light
762,Pearl Gray - Very Light
772,Yellow Green - Very Light
775,Baby Blue - Very Light
776*,Pink - Medium
777,Red - Deep
778,Antique Mauve - Very Light
779,Brown
780,Topaz - Ultra Very Dark
781*,Topaz - Very Dark
782,Topaz - Dark
783,Topaz - Medium
791,Cornflower Blue - Very Dark
792,Cornflower Blue - Dark
793,Cornflower Blue - Medium
794,Cornflower Blue - Light
796,Royal Blue - Dark
797,Royal Blue
798,Delft Blue - Dark
799,Delft Blue - Medium
800,Delft Blue - Pale
801,Coffee Brown - Dark
803,Blue - Deep
806*,Peacock Blue - Dark
807,Peacock Blue
809,Delft Blue
813,Blue - Light
814,Garnet - Dark
815,Garnet - Medium
816,Garnet
817,Coral Red - Very Dark
818,Baby Pink
819,Baby Pink - Light
820,Royal Blue - Very Dark
822,Beige Gray - Light
823,Blue - Dark
824,Blue - Very Dark
825,Blue - Dark
826,Blue - Medium
827,Blue - Very Light
828,Blue - Ultra Very Light
829,Golden Olive - Very Dark
830,Golden Olive - Dark
831,Golden Olive - Medium
832,Golden Olive
833,Golden Olive - Light
834,Golden Olive - Very Light
838,Beige Brown - Very Dark
839,Beige Brown - Dark
840,Beige Brown - Medium
841,Beige Brown - Light
842,Beige Brown - Very Light
844,Beaver Gray - Ultra Dark
868*,Hazel Nut Brown
869,Hazelnut Brown - Very Dark
890,Pistachio Green - Ultra Dark
891,Carnation - Dark
892,Carnation - Medium
893,Carnation - Light
894,Carnation - Very Light
895,Hunter Green - Very Dark
898,Coffee Brown - Very Dark
899,Rose - Medium
900,Burnt Orange - Dark
902,Garnet - Very Dark
904,Parrot Green - Very Dark
905,Parrot Green - Dark
906,Parrot Green - Medium
907,Parrot Green - Light
909,Emerald Green - Very Dark
